Date,Open,High,Low,Price,Volume,Chg%
"May 18, 2021",78850.00,79947.00,78405.55,79270.00,24.07,1.35%
"May 17, 2021",76780.00,78464.30,76000.00,78211.80,20.99,2.73%
"May 14, 2021",77501.00,77850.00,75950.00,76135.75,23.18,-1.46%
"May 12, 2021",78300.00,79225.10,77001.00,77267.30,21.9,-1.72%
"May 11, 2021",77914.00,78989.95,77606.35,78621.15,14.53,0.32%
"May 10, 2021",78200.00,78745.00,77500.00,78370.05,15.65,1.19%
"May 07, 2021",78300.00,78770.00,77200.00,77446.20,21.11,-0.57%
"May 06, 2021",78300.00,79199.95,77756.25,77887.30,17.27,-0.50%
"May 05, 2021",79299.95,79398.95,77751.00,78277.70,17.89,-0.43%
"May 04, 2021",80880.00,80880.00,78410.15,78614.50,24.18,-1.62%
"May 03, 2021",80399.90,81127.95,79300.10,79907.55,18.35,-1.01%
"Apr 30, 2021",77600.00,81699.00,77200.00,80720.55,60.01,3.95%
"Apr 29, 2021",78600.00,79100.00,77505.00,77656.90,18.24,-0.52%
"Apr 28, 2021",78390.00,79300.00,77850.00,78060.80,23.45,0.06%
"Apr 27, 2021",77900.00,78472.90,77700.00,78010.40,13.28,0.42%
"Apr 26, 2021",78550.00,79296.40,77484.50,77687.55,16.48,-0.67%
"Apr 23, 2021",78280.00,78881.00,77800.00,78214.15,17.86,-0.12%
"Apr 22, 2021",79100.00,79100.00,77634.35,78308.00,41.07,-1.30%
"Apr 20, 2021",80399.95,80650.10,78699.55,79339.80,27.67,0.14%
"Apr 19, 2021",79205.00,80399.00,78813.00,79231.40,26.8,-2.62%
"Apr 16, 2021",81410.00,81981.05,80980.50,81366.00,23.2,0.48%
"Apr 15, 2021",81700.00,82449.95,80500.00,80980.50,33.55,-2.05%
"Apr 13, 2021",79500.00,83100.00,79300.00,82671.60,30.8,4.35%
"Apr 12, 2021",81300.00,81400.00,78900.00,79227.85,24.42,-3.25%
"Apr 09, 2021",82908.35,83287.45,81750.00,81888.15,14.92,-1.32%
"Apr 08, 2021",83900.00,84492.15,82500.00,82983.10,19.67,-0.82%
"Apr 07, 2021",81770.00,83950.00,81684.75,83672.60,16.89,1.74%
"Apr 06, 2021",82139.75,82500.00,81211.10,82245.55,18.06,0.89%
"Apr 05, 2021",82310.00,83269.10,81262.60,81520.90,19.06,-1.94%
"Apr 01, 2021",83148.00,83449.95,82200.00,83133.10,19.97,1.06%
"Mar 31, 2021",82711.40,83525.75,81950.00,82259.45,17.74,-1.11%
"Mar 30, 2021",82511.00,83946.00,81325.05,83185.30,34.01,1.43%
"Mar 26, 2021",82749.40,82749.40,81800.00,82009.45,17.69,0.32%
"Mar 25, 2021",82300.00,82993.00,80702.70,81751.20,33.84,-0.72%
"Mar 24, 2021",83870.00,84345.40,81800.00,82341.70,25.87,-2.69%
"Mar 23, 2021",83999.90,84999.95,83600.00,84615.10,26.06,1.07%
"Mar 22, 2021",84500.00,85499.00,82421.10,83722.80,27.41,-0.97%
"Mar 19, 2021",82900.00,84920.95,80605.80,84539.80,63.11,1.60%
"Mar 18, 2021",86025.20,86348.25,83000.05,83206.25,30.1,-2.81%
"Mar 17, 2021",87328.55,87328.55,85246.25,85609.00,18.54,-1.39%
"Mar 16, 2021",87900.00,88479.85,86500.00,86819.00,22.69,-0.97%
"Mar 15, 2021",89200.00,89490.50,87000.00,87673.55,22.66,-1.24%
"Mar 12, 2021",88800.00,90300.00,88200.00,88775.35,25.81,0.10%
"Mar 10, 2021",89702.75,89703.00,88379.45,88684.10,16.99,-0.43%
"Mar 09, 2021",88398.40,89505.50,88000.00,89067.70,24.44,1.72%
"Mar 08, 2021",88661.75,89484.95,87202.05,87564.55,21.12,-1.24%
"Mar 05, 2021",89699.90,89699.90,88005.00,88661.75,27.91,-1.24%
"Mar 04, 2021",88200.00,90801.00,88097.70,89773.55,29.44,0.76%
"Mar 03, 2021",89680.00,89950.00,88480.00,89097.10,22.14,-0.65%
"Mar 02, 2021",90148.75,90274.00,88446.95,89680.40,34.84,0.74%
"Mar 01, 2021",85200.00,89864.00,85152.05,89025.45,48.75,5.36%
"Feb 26, 2021",86900.00,87320.00,83803.55,84498.15,46.33,-3.57%
"Feb 25, 2021",88200.00,88600.00,87362.85,87622.80,22.42,-0.41%
"Feb 24, 2021",88100.00,88600.00,86850.00,87979.65,13.77,0.48%
"Feb 23, 2021",87293.60,88105.05,85800.00,87558.50,37.38,0.73%
